slug,title,kaggle_url,is_private,language,kernel_type,notebook_file,sha256,code_sha256,native_files,kernel_sources,dataset_sources
0123try,0123try,https://www.kaggle.com/code/ngyzly/0123try,true,python,notebook,notebooks/0123try/0123try.ipynb,e73ca161a798989126e3fb2cf74381a45c43664e4e747f9dffd225e32b5fc562,dfefc871b3bfbe7bfb51c9b36266e2b5759f34889f5f896fcd4287588d25de93,native/notebook_exports/0123try/miner.cpp;native/notebook_exports/0123try/squeezer.cpp,,
a-single-group-optimizer-by-manoj,A Single Group Optimizer by Manoj,https://www.kaggle.com/code/ngyzly/a-single-group-optimizer-by-manoj,true,python,notebook,notebooks/a-single-group-optimizer-by-manoj/a-single-group-optimizer-by-manoj.ipynb,70630bcbaccee8f2b26970a899e89e5737de5e15548082636926d0ff243e9b7a,bfe4711d736beb09525be90315731a076eb0542263ce89f3daa80f9be0d5bb16,native/notebook_exports/a-single-group-optimizer-by-manoj/single_group_optimizer.cpp,smartmanoj/santa-2025-quick-ensemble;chistyakov/new-simple-fix-rebuild-large-layout-general;chistyakov/sa-on-metamodel-from-2-blocks-132-trees;;roshaw/new-year-same-old-bbox;yongsukprasertsuk/santa2025-bbox-optimization;zhangtengfei02/a-super-simple-improvement-strategy;jazivxt/why-not;chistyakov/new-simple-fix-rebuild-large-layout-from-corners;datafad/new-year-same-old-bbox;aikhmelnytskyy/manual-tree-shifter-and-checker-sa;zhangtengfei02/intergration-of-existing-result-current-best;saspav/santa-submission,
a-single-group-optimizer-by-manoj-c53a04,A Single Group Optimizer by Manoj c53a04,https://www.kaggle.com/code/ngyzly/a-single-group-optimizer-by-manoj-c53a04,true,python,notebook,notebooks/a-single-group-optimizer-by-manoj-c53a04/a-single-group-optimizer-by-manoj-c53a04.ipynb,6e8944655fce11f8d60086c77ad0a62c4a5384e2c63497652b9233e336b742ad,57f1d97a1f29192ab4192abc8a32ba479c8318e1d1208a71b288a317ee356fc5,native/notebook_exports/a-single-group-optimizer-by-manoj-c53a04/single_group_optimizer.cpp,smartmanoj/santa-2025-quick-ensemble;chistyakov/sa-on-metamodel-from-2-blocks-132-trees;;yongsukprasertsuk/santa2025-bbox-optimization;zhangtengfei02/a-super-simple-improvement-strategy;datafad/new-year-same-old-bbox;ngyzly/new-simple-fix-rebuild-large-layout-from-corners;roshaw/new-year-same-old-bbox;ngyzly/santa-submission-2dbbf9;chistyakov/new-simple-fix-rebuild-large-layout-general;chistyakov/new-simple-fix-rebuild-large-layout-from-corners;aikhmelnytskyy/manual-tree-shifter-and-checker-sa;zhangtengfei02/intergration-of-existing-result-current-best;jazivxt/why-not;saspav/santa-submission;ngyzly/merging,
a-super-simple-improvement-strategy,✨ A Super Simple Improvement Strategy,https://www.kaggle.com/code/ngyzly/a-super-simple-improvement-strategy,true,python,notebook,notebooks/a-super-simple-improvement-strategy/a-super-simple-improvement-strategy.ipynb,522e376f9a42814957054ae190d126dddc6d1f143b3537c07c2ba7eca41b2fa1,59ea666375983b6bc1aaf483745b4392398587d71a4897dd9205b19eb897fa77,,zhangtengfei02/intergration-of-existing-result-current-best;ngyzly/merging-d4cb2a-9494c9;ngyzly/merging,
eazy-optimizer,Eazy Optimizer,https://www.kaggle.com/code/ngyzly/eazy-optimizer,true,python,notebook,notebooks/eazy-optimizer/eazy-optimizer.ipynb,c62f0246f42c359a6dd66f87c4b62aef88136fc4416c6a121f3aebdd2baa8a63,60935c76406a9bee5ce1d7af1dd0687a6d1c1ec2fc8f70623ef4ed80f8067d26,native/notebook_exports/eazy-optimizer/eazy.cpp,ngyzly/manual-tree-shifter-and-checker-sa;ngyzly/merging,jazivxt/bucket-of-chump
fast-sa,Fast SA,https://www.kaggle.com/code/ngyzly/fast-sa,true,python,notebook,notebooks/fast-sa/fast-sa.ipynb,e1fa765378c55d7a21024fb7e715193a01487a0268a2afb708dbe2468b5f6f38,36cd5fac387daac9c0bf20bfa0ee6dd77435492cc856d8966e0edebaa2400c2b,native/notebook_exports/fast-sa/sa_fast_only_fix_gid_timelimit.cpp,ngyzly/sparrow-29;ngyzly/merging,
fast-simulated-annealing-cpp-version,Fast simulated annealing - CPP version,https://www.kaggle.com/code/ngyzly/fast-simulated-annealing-cpp-version,true,python,notebook,notebooks/fast-simulated-annealing-cpp-version/fast-simulated-annealing-cpp-version.ipynb,b02c6555de1f184ccf95eafa8e11a7f1170a007cb4108c86234a63647671bbac,ba9149cb12182ee9b0675156464df39cbbafa1cf2b747031918431956fc8026a,native/notebook_exports/fast-simulated-annealing-cpp-version/sa_fast_v2.cpp,chistyakov/shake-shake-shake;opencv411/final-final-final-try;jazivxt/why-not;ngyzly/merging,
fork-of-fast-sa,Fork of Fast SA,https://www.kaggle.com/code/ngyzly/fork-of-fast-sa,true,python,notebook,notebooks/fork-of-fast-sa/fork-of-fast-sa.ipynb,00cfcf03f9c71bd038585961d6922003ab743e9269874c03c4e931ccac4e2ac7,5efd50a500d6e371dc0964a963620753b2dbdb3eb0e877c34379620030ae9c12,native/notebook_exports/fork-of-fast-sa/sa_fast_only_fix_gid_timelimit.cpp,ngyzly/merging,
fork-of-fast-simulated-annealing-17-top1,Fork of Fast simulated annealing_17_top1,https://www.kaggle.com/code/ngyzly/fork-of-fast-simulated-annealing-17-top1,true,python,notebook,notebooks/fork-of-fast-simulated-annealing-17-top1/fork-of-fast-simulated-annealing-17-top1.ipynb,bf076ef1d06526fd796877c8eb049dcc906e76604d49b5b86b835cb120cfb37d,aba3836295f50c96939ad67b3c3bb8786adc23b3318b0306321894b40afbeb35,native/notebook_exports/fork-of-fast-simulated-annealing-17-top1/sa_fast_only_fix_gid_timelimit.cpp,hossam82/santa-tree-high-score-v1;ngyzly/sparrow-29;ngyzly/fork-of-fast-simulated-annealing-17-top1;ngyzly/merging,ngyzly/focus-on-n18;ngyzly/n18-searching;ngyzly/n51optim;ngyzly/n6optim;ngyzly/new-optimed;ngyzly/optimed-28;ngyzly/optimed-16;ngyzly/optimed-40;ngyzly/optimed-54;ngyzly/optimed35;ngyzly/optimed36
fork-of-fork-of-fast-simulated-annealing-17-top1,Fork of Fork of Fast simulated annealing_17_top1,https://www.kaggle.com/code/ngyzly/fork-of-fork-of-fast-simulated-annealing-17-top1,true,python,notebook,notebooks/fork-of-fork-of-fast-simulated-annealing-17-top1/fork-of-fork-of-fast-simulated-annealing-17-top1.ipynb,85e87f2d802ce55c978a85f27d6b205411411e43bb3e693dca3683f989e118b6,878641e315251e20c1740d110718200a6027806b7504c78ffe7fa367e1f127ae,native/notebook_exports/fork-of-fork-of-fast-simulated-annealing-17-top1/sa_fast_only_fix_gid_timelimit.cpp,hossam82/santa-tree-high-score-v1;ngyzly/sparrow-29;ngyzly/fork-of-fast-simulated-annealing-17-top1;ngyzly/merging,ngyzly/focus-on-n18;ngyzly/n18-searching;ngyzly/n51optim;ngyzly/n6optim;ngyzly/new-optimed;ngyzly/optimed-28;ngyzly/optimed-16;ngyzly/optimed-40;ngyzly/optimed-54;ngyzly/optimed35;ngyzly/optimed36
